word,rock,jazz,alternative rock,eletronic,pop,total
bamboozle,1,0,0,0,1,2
guitars,1,0,0,0,0,1
pontchartrain,1,1,0,0,0,2
revolution,5,2,2,3,3,15
bedroom,2,1,1,2,1,7
cost,1,1,1,0,0,3
curse,4,1,1,3,2,11
jeric,0,0,0,0,1,1
sleepwalker,1,0,0,0,1,2
scaffold,1,1,0,1,1,4
rockstarslive,1,0,0,1,0,2
uniform,1,1,1,1,1,5
quedar,1,0,1,1,1,4
serban,1,0,0,0,1,2
kusetus,1,0,0,0,0,1
popovic,1,0,0,0,1,2
spinna,1,0,0,0,1,2
sleepwalkers,1,1,0,1,0,3
coochie,1,1,1,1,1,5
change,16,7,5,11,12,51
sending,1,1,1,0,0,3
flames,1,0,1,1,0,3
nievitch,1,1,0,0,1,3
screamin,1,0,0,0,0,1
trial,1,1,0,0,1,3
locomotion,1,1,0,1,1,4
pillow,3,3,1,1,3,11
homecoming,2,0,1,0,2,5
burp,1,0,0,1,1,3
cien,0,0,0,0,1,1
paragon,0,1,0,0,0,1
italiano,1,1,0,1,1,4
uphill,1,0,0,0,0,1
sincerely,1,0,0,1,1,3
stings,2,0,1,1,1,5
should,4,2,2,3,4,15
market,2,0,0,1,0,3
prove,2,1,1,0,2,6
pusher,1,1,1,1,1,5
selecta,1,0,0,1,1,3
live,178,80,97,106,154,615
soki,0,1,0,0,0,1
angels,6,1,3,4,3,17
matador,1,3,0,2,2,8
ukkosenjumalan,1,0,1,1,0,3
entrance,1,1,0,1,1,4
bellini,0,0,0,1,0,1
club,15,4,9,18,16,62
abramz,1,0,0,1,0,2
foxboro,1,0,1,0,1,3
verliebst,1,0,0,1,1,3
niggaz,0,0,0,0,1,1
hope,5,2,4,2,6,19
diddley,1,0,0,0,0,1
jveux,1,0,1,1,1,4
burrinha,0,1,0,0,1,2
heart,44,24,12,29,41,150
dedicated,2,3,1,2,3,11
serus,1,0,1,0,0,2
nema,0,0,0,0,1,1
vnner,0,0,0,1,0,1
noch,1,0,1,1,1,4
topic,1,0,1,1,1,4
heard,5,5,2,3,6,21
chin,0,0,0,0,1,1
chim,0,2,0,2,2,6
airplane,1,0,0,0,0,1
lluvia,1,0,1,0,1,3
lounge,1,0,1,1,1,4
nonstop,0,0,0,1,0,1
zimmerman,1,0,1,0,0,2
sacrifice,1,0,1,1,0,3
southern,1,1,1,2,2,7
stripes,1,0,0,0,1,2
drastic,1,1,0,0,1,3
heroes,1,1,0,0,1,3
acorden,1,0,0,0,1,2
meteores,0,0,0,1,0,1
remember,7,5,4,6,8,30
cubanas,0,1,0,0,0,1
explicit,23,10,3,10,28,74
hifi,1,1,1,1,1,5
nosed,0,1,0,1,1,3
vaya,1,1,0,1,1,4
tagged,1,0,1,0,0,2
tncdallamok,1,1,0,1,0,3
coln,1,0,0,1,1,3
brain,2,1,2,0,1,6
orgullo,0,1,0,0,0,1
cold,10,5,3,6,6,30
still,18,11,12,14,19,74
birds,1,1,0,0,1,3
earplugs,1,0,0,1,1,3
revivalism,1,0,1,1,0,3
willow,1,1,0,1,1,4
dejarte,1,0,1,1,1,4
ducktails,1,0,1,1,0,3
wixa,0,0,0,1,0,1
norway,1,0,1,1,1,4
evol,1,0,0,1,0,2
clasico,0,0,0,0,1,1
guajira,2,2,0,1,1,6
maquina,0,1,0,2,0,3
extrication,1,1,1,1,0,4
hala,1,1,0,1,0,3
adrenaline,1,0,1,1,1,4
halleluja,1,0,1,0,1,3
half,6,1,3,2,4,16
recap,0,0,0,1,0,1
perdu,1,1,0,1,1,4
hall,4,3,1,4,4,16
galloping,1,1,1,1,1,5
wont,6,5,3,6,7,27
concerto,5,3,0,3,5,16
fumes,1,0,1,0,0,2
boheme,0,0,0,0,1,1
james,5,6,1,3,4,19
drop,3,0,1,2,3,9
magan,0,0,0,0,1,1
aquacityboy,1,1,0,1,1,4
desde,1,0,1,2,1,5
stockholm,1,1,1,1,1,5
bhabhiyie,0,0,0,1,0,1
kann,1,1,0,1,1,4
kano,0,1,0,1,0,2
danchall,0,0,0,0,1,1
mangos,0,1,0,0,0,1
hymne,0,1,0,0,1,2
goose,1,0,0,0,1,2
mulher,0,1,0,0,1,2
year,7,1,4,1,7,20
happen,2,2,1,1,1,7
pills,1,0,0,1,1,3
tried,0,0,0,0,1,1
album,362,120,171,146,304,1103
space,8,3,4,4,6,25
llamada,0,0,0,0,1,1
thirst,0,0,0,0,1,1
looking,8,5,3,4,5,25
messiaen,0,0,0,1,0,1
cars,1,0,1,0,1,3
scrooges,1,0,0,0,1,2
medalla,0,0,0,1,1,2
unwanted,1,0,0,0,1,2
caro,0,1,0,0,0,1
marina,1,0,1,1,1,4
cara,0,1,0,1,1,3
marine,0,1,0,0,1,2
trange,1,0,1,1,1,4
card,1,1,0,0,0,2
care,6,2,3,3,2,16
lhemms,1,0,1,1,1,4
goodnights,1,0,0,0,0,1
deprivation,1,0,1,1,1,4
pegadito,1,0,0,0,1,2
blind,2,0,1,0,0,3
ouyounik,0,0,1,1,1,3
jumke,0,0,0,1,0,1
yourself,5,4,3,4,6,22
proibida,1,1,1,1,1,5
ring,4,3,1,0,4,12
tomorrow,11,5,5,8,8,37
size,2,1,1,0,1,5
silent,6,6,1,4,8,25
caught,5,1,2,3,4,15
gardien,1,0,0,0,0,1
rakkahin,1,1,0,0,1,3
vampyyri,1,0,1,1,1,4
friend,11,7,7,5,8,38
mostly,0,1,0,0,0,1
that,46,31,16,25,41,159
brains,1,0,0,0,0,1
crackbabies,1,1,1,0,1,4
qual,1,0,0,1,1,3
quan,0,0,0,0,1,1
hillbillies,1,1,0,0,0,2
flowers,4,3,1,2,6,16
than,18,8,8,10,17,61
rugged,0,0,0,0,1,1
gemstones,1,1,0,0,1,3
vocals,5,1,0,1,4,11
apples,2,2,1,1,2,8
fruits,1,0,0,1,0,2
fruity,0,1,1,0,0,2
angel,18,14,6,13,16,67
vitaminas,1,0,0,0,1,2
boomshackalack,0,0,0,1,0,1
premier,1,1,0,1,1,4
gitanos,2,0,0,2,2,6
slap,1,0,0,1,0,2
loko,1,1,0,1,1,4
anges,1,1,0,1,1,4
insatiable,1,0,0,1,0,2
slab,1,1,0,1,1,4
windsor,0,0,0,1,0,1
jardin,0,1,0,0,1,2
deux,4,3,0,1,4,12
jardins,1,0,1,1,1,4
deus,1,1,1,1,1,5
santiago,2,0,1,1,2,6
prick,1,0,0,0,0,1
price,2,2,1,0,1,6
chorando,0,1,0,0,0,1
america,2,1,2,1,1,7
fersen,1,1,0,1,1,4
destiny,1,0,0,1,1,3
michelle,2,1,2,1,2,8
forever,16,7,12,16,13,64
atfcs,1,0,0,1,1,3
alguna,1,0,0,0,1,2
steady,5,3,2,2,3,15
alfil,1,1,1,1,0,4
verbals,1,1,0,1,0,3
slaves,1,0,1,0,1,3
sexing,1,0,1,1,1,4
rambling,1,2,0,0,1,4
malheureux,1,1,0,1,1,4
ground,3,2,2,2,1,10
aint,29,23,8,15,20,95
title,2,2,1,3,3,11
saints,1,1,0,2,0,4
september,3,2,2,3,3,13
only,26,18,10,19,26,99
sierra,0,1,0,0,0,1
ainm,1,0,0,0,0,1
jole,0,1,0,0,0,1
pumpkin,0,0,0,1,1,2
fledermaus,0,0,0,0,1,1
cannot,1,0,1,1,1,4
cryin,1,1,1,0,2,5
deborahs,1,0,0,0,1,2
leather,1,0,0,1,1,3
imbecile,1,0,1,1,1,4
breeches,1,1,0,0,1,3
losers,1,1,0,1,1,4
criscoteque,1,0,1,1,1,4
musette,2,2,0,0,2,6
amoureux,1,0,0,0,0,1
concert,4,0,4,3,3,14
godere,1,0,0,0,1,2
ends,3,1,3,0,3,10
hoes,0,0,0,1,0,1
maana,1,0,1,0,0,2
troubadour,1,1,1,0,0,3
dompfaff,1,1,0,1,1,4
estar,1,0,0,0,1,2
estas,3,0,1,0,2,6
between,9,1,5,4,7,26
notice,2,1,1,0,2,6
unlocks,1,0,0,0,1,2
widersacher,1,1,0,0,1,3
blame,5,1,1,3,1,11
hurts,2,0,1,0,2,5
comeback,1,1,1,1,1,5
goodsall,1,1,1,1,1,5
impromptu,1,1,0,0,0,2
duet,1,0,1,1,2,5
mona,1,0,0,0,0,1
mono,2,1,0,2,2,7
monk,1,1,0,1,0,3
timour,0,1,0,1,0,2
moni,0,0,0,0,1,1
wheels,1,1,0,1,0,3
prequel,1,1,0,0,0,2
comes,5,5,1,6,10,27
kilometros,0,0,0,0,1,1
madness,2,2,0,2,2,8
plaisancefox,0,1,0,0,1,2
cuando,1,0,1,2,3,7
basilica,1,0,0,0,1,2
taryns,1,1,0,1,1,4
learning,2,1,1,1,2,7
punisher,1,0,0,1,1,3
cycling,0,0,0,1,0,1
sest,1,1,0,0,1,3
cares,4,1,1,2,3,11
cared,0,1,0,1,1,3
informer,1,0,0,1,1,3
scumfrog,1,1,1,1,1,5
foggy,1,1,0,1,1,4
ruby,3,1,1,2,1,8
these,8,2,1,5,6,22
mouton,0,1,0,0,1,2
trick,0,0,0,1,0,1
crump,1,0,0,1,1,3
bogart,0,0,0,1,0,1
bian,1,0,0,0,1,2
sudanese,0,0,1,1,0,2
embrace,0,0,0,0,1,1
heels,2,1,2,1,2,8
return,2,1,1,1,2,7
helium,1,0,0,1,0,2
floating,2,2,2,2,1,9
worry,3,1,0,0,3,7
pastas,1,0,0,0,1,2
esteban,2,0,2,0,2,6
gentlemen,1,2,0,1,1,5
motherless,0,1,0,0,0,1
epoch,1,0,1,1,1,4
finish,1,0,0,0,0,1
arctic,1,0,1,1,0,3
foam,1,1,0,0,0,2
daquitaine,1,0,0,0,1,2
fruit,1,1,1,1,1,5
voulait,1,1,0,1,1,4
wessex,1,1,0,1,1,4
severe,1,0,0,1,1,3
breeze,0,0,0,0,1,1
holli,0,0,0,1,0,1
taxi,1,1,0,1,1,4
frankie,3,1,1,2,2,9
noah,1,0,0,1,1,3
neon,2,0,1,1,2,6
narechenny,1,0,0,1,0,2
civilized,1,1,0,1,1,4
anyday,0,0,0,0,1,1
touch,7,7,3,7,8,32
statues,1,0,1,0,0,2
speed,3,1,1,1,2,8
taxt,1,0,1,1,0,3
death,15,4,4,8,6,37
thinking,1,3,1,1,3,9
daydreaming,1,1,1,2,1,6
cumha,1,1,0,1,1,4
sportin,1,0,0,0,1,2
ilusao,0,1,0,1,1,3
choclate,1,1,0,0,1,3
treatment,0,0,0,0,1,1
verso,1,1,0,1,1,4
role,2,1,0,1,2,6
momentum,1,0,1,0,1,3
real,9,4,6,11,9,39
ditt,0,1,0,0,0,1
envie,1,0,0,0,0,1
rasta,1,0,0,1,1,3
rules,1,0,1,2,0,4
lado,2,0,0,0,0,2
gonna,19,18,12,9,16,74
gamelan,1,0,0,0,1,2
early,2,1,0,0,2,5
listening,1,1,1,0,1,4
earls,1,0,0,0,0,1
execution,1,1,0,1,0,3
lady,6,5,2,4,8,25
koobas,1,1,1,1,1,5
ruled,1,1,0,0,1,3
collapsar,1,1,1,1,1,5
fortune,1,0,0,0,1,2
pounds,0,0,1,0,0,1
greeting,1,1,1,0,1,4
miracle,2,1,3,2,2,10
oblivion,1,0,0,1,0,2
adianta,1,1,1,1,1,5
whatcha,2,0,1,1,2,6
morena,4,5,0,2,5,16
twelve,1,0,0,0,1,2
eddie,0,0,1,1,1,3
betania,0,1,0,0,1,2
ihmisen,1,0,1,1,1,4
recorded,1,1,0,1,0,3
guillaume,1,0,0,0,1,2
hustla,0,0,0,1,1,2
willie,3,1,1,2,2,9
hustle,0,0,0,0,1,1
ohios,1,0,1,1,1,4
business,4,1,1,4,3,13
sixth,1,0,1,1,1,4
neurtica,1,0,1,0,1,3
credits,1,0,1,0,0,2
artie,0,1,0,0,0,1
innocence,2,0,0,1,2,5
raul,2,1,0,1,2,6
francis,0,1,0,0,1,2
throw,1,1,1,2,1,6
brighton,0,1,0,0,0,1
aphrodite,1,0,1,0,0,2
central,1,1,1,1,1,5
lombrigas,1,1,1,1,1,5
chop,1,0,1,0,0,2
journey,2,3,0,2,5,12
assassin,1,0,1,1,0,3
sketches,0,1,0,0,0,1
mirame,0,1,0,1,1,3
youd,2,0,2,1,1,6
zambele,0,1,0,1,1,3
prospection,0,0,0,1,0,1
morir,0,0,0,1,1,2
bedtime,1,0,0,0,1,2
operator,2,2,1,1,2,8
your,92,55,46,77,76,346
semba,0,1,0,1,1,3
stare,2,1,2,2,0,7
area,0,0,0,0,1,1
weekend,1,0,0,0,0,1
start,9,1,4,3,6,23
ares,1,1,0,1,0,3
stars,8,3,6,7,9,33
shagi,0,0,0,1,1,2
copacabana,0,1,0,1,0,2
grandbags,1,0,1,1,1,4
caviglia,1,0,1,1,0,3
trying,2,2,0,0,2,6
stickin,1,0,0,0,1,2
porcelaine,1,1,1,1,1,5
opression,1,0,0,0,0,1
tellin,1,1,0,1,0,3
sadness,0,0,0,1,0,1
aneurysm,1,0,1,0,0,2
troyano,1,1,0,0,0,2
araby,1,1,0,1,1,4
tengo,0,0,0,0,1,1
mover,1,0,0,0,0,1
superconfidential,1,0,0,1,0,2
completeness,1,1,0,1,1,4
todo,4,2,2,3,4,15
songgreat,1,0,0,0,0,1
tirador,1,1,0,1,1,4
dimanche,1,1,0,0,2,4
fools,4,1,3,2,2,12
poor,3,2,2,1,3,11
diaries,1,1,1,0,1,4
yippiyoay,1,0,0,1,1,3
time,68,38,28,39,55,228
desclaves,1,1,0,1,1,4
pooh,0,1,0,0,0,1
airheads,1,0,1,1,1,4
pool,1,1,0,1,1,4
building,3,1,2,1,1,8
tacuta,1,0,0,1,0,2
volcn,0,0,0,1,1,2
moonlight,2,4,0,4,4,14
bystander,1,0,1,1,0,3
youngblood,1,1,0,1,1,4
offishall,0,1,0,0,1,2
parabolics,0,0,0,2,0,2
cruisin,1,1,0,1,1,4
decelerate,1,0,1,0,0,2
tomorrows,1,0,0,0,0,1
fleurs,1,1,0,1,1,4
govinda,1,1,0,1,1,4
ciudad,0,0,0,0,1,1
monts,0,1,0,0,1,2
corps,1,4,0,2,1,8
bosque,1,1,1,1,0,4
hablo,0,1,0,0,0,1
fountain,0,1,0,0,1,2
dekh,1,0,1,1,1,4
vers,2,1,1,2,1,7
bazooka,1,1,1,1,1,5
ventilador,1,1,0,1,1,4
witching,1,1,0,1,1,4
vera,1,1,0,1,1,4
rogue,1,1,0,1,1,4
decide,1,1,0,1,1,4
decidi,0,0,0,0,1,1
heaven,13,9,7,10,13,52
louis,1,1,0,0,1,3
nortena,1,0,0,0,1,2
locomotive,1,0,1,1,1,4
louie,2,0,2,1,0,5
colossal,1,0,1,0,0,2
streets,4,4,1,2,4,15
cibola,1,0,1,1,1,4
conscience,1,1,1,1,1,5
ails,0,0,0,1,0,1
apologizes,1,1,0,1,0,3
darkness,4,2,3,3,3,15
consumers,1,1,1,1,0,4
nana,2,1,0,0,1,4
maybes,1,1,0,1,0,3
onni,1,1,1,1,1,5
learned,1,0,1,0,0,2
edited,4,2,0,3,6,15
unuturum,0,0,0,0,1,1
sarankgni,0,1,0,1,1,3
loose,3,0,1,2,2,8
answers,3,1,2,2,3,11
tracks,1,0,1,0,0,2
signapur,1,0,0,0,0,1
brillantin,1,1,0,1,1,4
meisten,0,0,0,0,1,1
strong,2,0,0,0,1,3
arena,2,2,1,1,2,8
ahead,1,0,1,0,0,2
perfidia,0,1,0,0,1,2
reason,4,1,2,1,3,11
soldier,1,0,1,0,1,3
coeurs,1,1,0,1,1,4
tralala,1,1,0,0,1,3
shuffle,5,4,0,4,4,17
family,1,0,0,2,3,6
setanta,1,1,0,1,1,4
khan,0,0,1,1,1,3
takes,8,4,3,2,8,25
amaze,0,0,0,2,0,2
pantin,1,1,0,0,1,3
taken,1,0,0,0,0,1
remixes,1,0,0,2,1,4
instrumental,16,12,7,12,11,58
excuse,1,1,0,1,1,4
broke,4,1,2,1,2,10
dios,1,1,0,2,2,6
hurry,3,1,3,3,2,12
brokn,1,0,1,0,0,2
grill,0,0,0,0,1,1
legba,1,1,0,1,1,4
nina,2,2,2,2,3,11
minhas,1,1,0,0,1,3
nine,2,0,1,2,1,6
hermione,1,1,0,0,0,2
nino,0,1,0,1,2,4
history,4,1,1,1,1,8
albi,0,0,1,1,1,3
sharab,0,0,0,0,1,1
albo,1,1,0,1,1,4
dragonfly,2,0,1,0,0,3
veinte,0,1,0,1,1,3
daddys,1,1,1,1,1,5
chagallos,0,0,0,0,1,1
cows,1,0,1,1,1,4
phrase,1,1,0,1,1,4
zanzibar,1,0,0,0,0,1
liebe,0,0,1,1,0,2
warhead,1,0,0,0,0,1
limosna,0,0,0,1,1,2
stayed,1,1,0,1,1,4
snippet,1,0,1,0,0,2
calme,0,0,0,1,1,2
paloma,0,0,0,0,1,1
eterno,1,0,0,1,1,3
rude,0,0,0,1,0,1
santilln,1,1,0,0,0,2
tries,1,1,0,1,0,3
invasion,1,1,0,1,1,4
rudy,1,3,0,3,0,7
compulsory,0,0,1,0,0,1
anytime,1,0,0,0,2,3
dread,0,0,0,1,0,1
dream,24,12,15,17,19,87
penda,0,0,0,0,1,1
help,10,3,4,8,8,33
nightsoftly,1,1,0,0,1,3
soon,2,1,1,1,1,6
held,0,1,0,0,1,2
soot,1,1,1,1,1,5
hell,12,3,6,3,8,32
markie,1,1,1,1,0,4
prowler,1,0,0,1,1,3
arbolitos,1,1,0,1,1,4
cloches,1,0,0,1,1,3
friscia,1,0,0,1,1,3
absence,0,0,0,1,0,1
lontana,1,0,0,0,1,2
peanuts,0,2,0,1,1,4
fool,6,2,1,3,3,15
evening,2,3,0,2,3,10
food,2,2,0,1,2,7
foot,1,1,0,1,0,3
ninja,3,1,2,3,3,12
hammersmith,1,0,0,1,1,3
cadenza,1,0,0,1,1,3
fully,1,1,1,1,0,4
bless,1,3,1,1,2,8
decimas,1,0,0,1,1,3
roadage,1,0,0,0,0,1
mewith,1,1,0,1,1,4
restless,0,1,0,1,0,2
hiroteros,0,0,0,0,1,1
toda,0,1,0,0,1,2
quantum,1,0,1,1,0,3
infinity,3,1,1,3,2,10
neir,1,0,0,1,1,3
beyond,4,2,2,2,1,11
conker,0,0,0,1,0,1
anarchy,1,0,0,0,0,1
vertigo,1,1,1,1,1,5
basements,1,0,0,1,1,3
miss,7,2,6,4,4,23
robert,2,1,0,1,1,5
since,3,2,2,2,3,12
chiove,1,0,0,0,0,1
testify,1,0,1,1,1,4
wolverine,1,1,0,0,1,3
pemba,0,1,0,0,0,1
safety,1,0,1,0,0,2
shuncata,0,0,0,0,1,1
drink,1,1,0,2,1,5
rednosed,1,1,0,1,1,4
bass,5,1,4,5,2,17
dirt,1,1,0,0,0,2
mentimos,0,0,0,0,1,1
dune,0,1,0,1,1,3
tipota,0,0,0,0,1,1
brightess,0,1,0,1,0,2
ironhead,0,0,1,0,1,2
selon,0,0,0,1,0,1
montagnes,1,1,0,0,1,3
gwithian,1,1,0,1,0,3
gonewine,0,0,0,0,1,1
kazmeyer,1,1,1,1,1,5
terrible,1,1,0,1,1,4
americas,1,0,1,0,1,3
bancate,1,0,1,1,1,4
american,7,3,3,4,5,22
daisy,1,0,0,1,1,3
heartbeat,1,0,0,0,0,1
xiang,0,0,0,1,4,5
malki,1,0,1,1,1,4
knots,1,1,1,1,0,4
ville,1,0,0,0,0,1
kaliforneyea,1,1,0,0,0,2
coloreteada,1,0,0,0,1,2
mist,1,1,0,1,1,4
visions,3,4,2,4,2,15
rorys,1,1,1,1,1,5
horse,6,1,2,0,5,14
pinned,1,0,1,0,0,2
eddy,0,0,0,0,1,1
station,2,1,0,2,1,6
gibraltar,1,0,1,0,1,3
handshakes,1,0,1,0,1,3
nigeria,0,0,0,1,1,2
banana,1,1,0,1,0,3
selling,1,1,0,0,0,2
trapped,0,0,0,1,0,1
norma,0,0,0,1,0,1
jamie,2,2,1,2,1,8
magali,1,1,0,1,1,4
overdrive,1,0,1,0,1,3
jordan,0,1,0,0,1,2
shifter,1,0,1,1,1,4
authors,1,0,0,0,0,1
translation,1,0,0,1,0,2
lament,6,3,2,4,5,20
grey,1,0,0,0,1,2
vitalized,1,0,1,0,0,2
maga,1,0,0,0,1,2
izgaryam,1,0,0,0,1,2
mahmouds,0,1,0,0,0,1
humppa,3,2,2,2,2,11
apagon,1,0,1,1,1,4
juice,1,0,0,0,1,2
eternamente,0,0,0,0,1,1
bubulina,1,0,1,1,1,4
poulet,1,0,1,1,1,4
ultrafunk,1,1,1,1,1,5
jour,1,1,1,1,1,5
cherokee,1,0,1,0,0,2
trance,1,1,1,1,1,5
cave,2,2,0,3,2,9
cava,1,1,0,1,0,3
tinghi,1,1,1,1,0,4
nuestras,0,0,0,0,1,1
towards,1,0,1,1,0,3
appapas,1,1,0,1,1,4
freddie,2,2,0,2,2,8
aires,1,0,0,0,1,2
aljarafe,1,0,0,1,1,3
alpha,1,1,0,1,1,4
mack,1,1,0,0,1,3
beachport,1,0,1,1,1,4
minha,0,1,0,0,1,2
clear,1,0,1,3,3,8
blent,0,0,0,0,1,1
ziggy,1,0,0,0,1,2
clean,3,0,0,0,1,4
hips,1,0,0,0,1,2
ekloges,1,0,0,1,1,3
danza,1,1,0,1,0,3
ingenting,1,1,1,1,1,5
sheik,1,1,0,1,1,4
garantito,0,0,1,1,0,2
crayon,1,1,0,1,1,4
heavens,3,1,0,0,2,6
blackwords,1,0,1,1,0,3
northern,1,0,1,0,1,3
justice,1,0,0,0,0,1
less,2,1,2,3,1,9
quem,0,1,0,1,1,3
randy,1,1,1,1,1,5
pretty,6,2,5,3,4,20
hardened,1,0,1,1,1,4
circle,3,3,2,2,3,13
bigbigkiss,1,0,1,1,1,4
trees,4,4,2,3,4,17
strut,1,0,0,0,0,1
famous,2,0,2,1,2,7
feels,2,2,0,2,3,9
during,1,1,0,2,0,4
molten,0,0,0,1,0,1
catcher,1,0,1,1,1,4
graysinn,1,0,0,1,0,2
vingt,1,1,0,0,1,3
geld,1,0,0,1,1,3
regreses,0,0,0,1,1,2
seventeen,1,0,1,1,2,5
backtrack,1,1,0,0,0,2
throwing,1,0,0,0,1,2
plough,0,1,0,1,0,2
ctait,1,1,0,1,1,4
culture,1,0,1,1,0,3
bethlehem,1,1,0,1,1,4
portrait,1,2,2,0,0,5
angie,1,0,0,0,1,2
pish,1,0,0,1,1,3
termites,0,0,0,1,1,2
bride,1,1,0,1,1,4
pictures,1,1,1,0,1,4
enger,1,0,0,0,0,1
engel,1,1,1,1,1,5
stall,1,0,0,1,1,3
marcando,1,0,0,0,1,2
tappin,1,0,1,0,1,3
deil,0,1,0,1,0,2
piss,1,0,0,0,0,1
missing,6,1,2,6,2,17
dejaria,0,1,0,0,0,1
invisible,1,0,0,0,1,2
speilet,0,1,0,0,0,1
cassard,0,1,0,0,1,2
secrets,1,0,0,1,1,3
perkiomen,1,0,0,0,1,2
anos,0,0,0,0,1,1
keybdbpremiere,1,0,1,0,1,3
remastering,0,0,0,0,2,2
halintamyymln,1,0,1,1,1,4
forgotten,2,1,0,1,1,5
hbar,1,0,1,1,1,4
hackers,1,0,0,1,0,2
battery,0,1,0,1,0,2
steele,1,1,0,0,1,3
whatever,2,0,2,1,1,6
quiera,0,1,0,0,0,1
capleton,1,1,0,1,0,3
likes,1,1,0,1,1,4
sailboat,0,1,0,0,1,2
celluloid,1,0,0,0,1,2
fabolous,1,0,0,0,1,2
destructor,1,0,1,1,0,3
wasnt,1,0,0,0,0,1
damn,2,0,1,1,2,6
militar,1,0,1,1,1,4
empty,4,1,1,2,2,10
dame,2,2,0,2,2,8
dialogue,3,1,0,0,1,5
lived,0,0,0,1,0,1
chimrique,1,1,0,1,1,4
chasseurs,1,1,0,1,1,4
abajo,0,0,0,1,1,2
else,1,0,1,0,1,3
katherine,1,0,0,0,1,2
heute,1,0,1,1,0,3
peyote,1,0,1,1,1,4
envers,1,1,1,1,1,5
valkyria,1,0,0,1,0,2
look,8,6,3,3,8,28
bikini,1,0,0,1,1,3
ropa,1,0,0,0,1,2
chariots,1,1,0,1,1,4
luciano,2,1,1,2,2,8
alte,1,1,1,1,1,5
loop,4,3,2,4,3,16
pack,1,0,0,3,3,7
lagan,0,0,0,1,0,1
pantera,1,0,1,1,1,4
wildflowers,1,0,0,0,1,2
smacker,0,1,0,1,0,2
ready,4,2,1,7,5,19
guido,1,0,0,1,1,3
orfvres,1,0,1,1,1,4
anymore,6,1,1,3,5,16
terras,2,2,0,2,2,8
dormilones,0,1,0,0,1,2
subliminal,1,1,0,1,0,3
syleena,0,0,0,0,1,1
grand,3,5,2,4,4,18
estes,1,0,1,0,0,2
drmmen,0,1,0,0,0,1
composition,1,1,1,1,1,5
used,2,2,1,1,2,8
dime,1,1,0,1,2,5
bonus,17,4,4,12,11,48
haunting,2,0,0,1,1,4
adrift,1,0,0,0,1,2
yuan,0,0,0,0,1,1
older,1,1,1,1,1,5
obviously,1,0,0,0,0,1
five,5,5,1,3,3,17
coup,1,1,1,2,2,7
cour,1,1,0,1,1,4
choro,1,2,1,2,2,8
sovra,1,0,0,1,0,2
praying,1,1,0,0,1,3
afro,1,0,1,1,1,4
caray,2,0,1,1,2,6
nikki,1,1,1,1,1,5
carat,1,1,0,1,1,4
cheryl,0,1,0,1,0,2
soliloquy,0,1,0,0,1,2
march,4,4,1,2,5,16
marca,1,1,0,1,1,4
albino,1,0,1,0,0,2
game,4,4,1,4,3,16
dearly,1,1,0,0,1,3
wings,4,3,4,3,5,19
laccordoniste,1,1,1,1,1,5
mantrol,1,1,1,1,0,4
superbird,1,1,1,1,1,5
baari,1,0,0,1,1,3
weinen,1,1,0,1,1,4
signal,0,0,0,1,0,1
donny,0,1,0,1,0,2
donne,0,0,0,1,1,2
suitcase,1,0,0,0,1,2
cones,0,0,1,0,0,1
brampton,2,1,1,2,1,7
autres,3,2,0,2,3,10
creation,2,1,1,2,2,8
some,12,6,6,6,11,41
osorio,1,0,0,1,1,3
lips,1,0,1,0,0,2
fanfara,1,1,0,1,1,4
debri,1,0,0,1,0,2
civilization,1,0,0,0,0,1
winterlight,0,1,0,1,0,2
bladecrash,1,1,1,1,1,5
squirrel,1,1,0,1,0,3
eruption,1,0,0,0,1,2
processing,1,0,1,1,1,4
lakes,1,1,0,0,0,2
jazzy,0,1,0,0,1,2
step,7,3,2,3,4,19
panhandle,1,0,1,0,1,3
contessa,0,1,0,1,0,2
shine,4,5,1,2,4,16
faith,4,1,0,1,3,9
padam,0,2,0,0,2,4
wouldnt,3,1,1,1,2,8
bleue,0,0,0,1,1,2
yiri,2,0,0,2,0,4
bloco,0,1,0,0,0,1
shiny,1,0,0,0,0,1
silence,5,0,3,3,2,13
seeing,1,0,0,0,1,2
visit,1,0,0,1,1,3
crying,3,2,2,2,2,11
grella,0,0,0,1,0,1
rolls,1,1,0,1,1,4
heritage,1,0,0,1,1,3
kamikaze,1,0,1,1,1,4
bossa,0,1,0,1,0,2
brazos,1,1,0,0,0,2
authority,1,0,0,0,1,2
reef,0,1,0,0,0,1
russian,1,1,1,0,1,4
skull,1,0,0,0,0,1
accustomed,2,2,2,0,2,8
conguitos,0,1,0,0,1,2
loving,11,6,5,9,11,42
chelsea,1,1,1,1,1,5
necesito,0,0,0,0,1,1
moonless,0,0,0,2,0,2
selfhelp,1,1,0,1,0,3
psychopath,1,0,0,0,0,1
cotton,1,0,0,1,0,2
varga,0,0,0,1,0,1
jamboree,0,0,0,0,1,1
objection,1,0,0,0,1,2
creeper,1,0,1,1,1,4
prerogative,1,0,0,1,1,3
recordar,1,0,0,1,0,2
beholder,1,0,0,0,0,1
zither,0,1,0,1,0,2
smiles,1,1,1,1,0,4
everybodys,5,3,2,1,3,14
vivace,1,0,0,1,2,4
william,1,0,0,1,0,2
drag,1,0,1,0,0,2
wohr,1,0,0,1,1,3
naheen,0,0,0,1,0,1
neill,1,1,0,1,1,4
